Método,Ruta,Tiempo Medio,N. de Peticiones
PATCH,/api/v1/devices/MsQN1x/,80.0 ms,1 pet
PATCH,/api/v1/devices/5CbqSs/,87.0 ms,1 pet
POST,/api/v1/devices/5CbqSs/access/,46.0 ms,1 pet
POST,/api/v1/devices/LJcaka/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/Vnlu2o/,61.0 ms,1 pet
PATCH,/api/v1/devices/oAEuqE/,96.2 ms,5 pet
POST,/api/v1/devices/oAEuqE/access/,45.0 ms,2 pet
PATCH,/api/v1/devices/mvifpi/,83.0 ms,1 pet
PATCH,/api/v1/devices/tNaWIJ/,80.0 ms,1 pet
POST,/api/v1/devices/t4HWdJ/access/,69.0 ms,1 pet
POST,/api/v1/devices/3J4XkF/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/3J4XkF/,81.0 ms,1 pet
PATCH,/api/v1/devices/Fir35t/,102.0 ms,1 pet
PATCH,/api/v1/devices/fpsYYE/,97.0 ms,2 pet
PATCH,/api/v1/devices/ZdAHI8/,95.0 ms,1 pet
POST,/api/v1/devices/iG9eCw/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/iG9eCw/,88.0 ms,1 pet
PATCH,/api/v1/devices/n2L3LP/,102.0 ms,1 pet
PATCH,/api/v1/devices/8jBUbw/,96.0 ms,1 pet
POST,/api/v1/devices/yrlupH/access/,78.0 ms,1 pet
POST,/api/v1/devices/CdquvC/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/mtWkSj/,57.0 ms,1 pet
POST,/api/v1/devices/mtWkSj/access/,72.0 ms,1 pet
POST,/api/v1/devices/UZd5e0/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/dZtgPB/,57.0 ms,1 pet
POST,/api/v1/devices/dZtgPB/access/,42.0 ms,1 pet
POST,/api/v1/devices/SL5d9r/access/,63.0 ms,1 pet
PATCH,/api/v1/devices/SL5d9r/,93.0 ms,1 pet
PATCH,/api/v1/devices/4zaePH/,57.0 ms,1 pet
PATCH,/api/v1/devices/EuqFLW/,66.0 ms,1 pet
POST,/api/v1/devices/4eCywg/access/,47.0 ms,1 pet
POST,/api/v1/devices/R5p7vi/access/,58.0 ms,1 pet
POST,/api/v1/devices/3N6nJP/access/,50.0 ms,1 pet
PATCH,/api/v1/devices/Akil00/,86.0 ms,1 pet
POST,/api/v1/devices/hSt5kX/access/,76.0 ms,1 pet
POST,/api/v1/devices/QdIgh5/access/,72.0 ms,1 pet
PATCH,/api/v1/devices/4OWmch/,85.0 ms,1 pet
POST,/api/v1/devices/8o4Bd1/access/,48.0 ms,1 pet
POST,/api/v1/devices/Y2N2yI/access/,64.0 ms,1 pet
PATCH,/api/v1/devices/GGFIXW/,59.0 ms,1 pet
PATCH,/api/v1/devices/wTkXKp/,80.0 ms,1 pet
PATCH,/api/v1/devices/eqfQLQ/,60.0 ms,1 pet
PATCH,/api/v1/devices/Vq5NMH/,62.0 ms,1 pet
POST,/api/v1/devices/a1aSMW/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/Jr8NJC/,120.0 ms,2 pet
POST,/api/v1/devices/Jr8NJC/access/,51.0 ms,1 pet
PATCH,/api/v1/devices/RQaxYB/,108.0 ms,1 pet
PATCH,/api/v1/devices/Oq1Ctv/,60.0 ms,1 pet
POST,/api/v1/devices/34Mdst/access/,52.0 ms,1 pet
POST,/api/v1/devices/rnmgdz/access/,51.0 ms,1 pet
POST,/api/v1/devices/EtHK5y/access/,61.0 ms,1 pet
PATCH,/api/v1/devices/kqYreA/,91.0 ms,5 pet
PATCH,/api/v1/devices/dYn7Gr/,94.0 ms,2 pet
PATCH,/api/v1/devices/MUVn8g/,100.0 ms,1 pet
POST,/api/v1/devices/YK21B1/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/YK21B1/,85.0 ms,1 pet
PATCH,/api/v1/devices/rB3S2g/,93.0 ms,1 pet
POST,/api/v1/devices/oQRfYL/access/,54.0 ms,1 pet
PATCH,/api/v1/devices/oQRfYL/,102.5 ms,2 pet
POST,/api/v1/devices/XEbikj/access/,68.0 ms,1 pet
POST,/api/v1/devices/T1VBV6/access/,47.0 ms,1 pet
POST,/api/v1/devices/Q3lxXY/access/,65.0 ms,1 pet
PATCH,/api/v1/pushes/qwGaIs/received/,64.0 ms,1 pet
POST,/api/v1/devices/usxgZ4/access/,57.0 ms,1 pet
POST,/api/v1/devices/dXVPyD/access/,52.0 ms,1 pet
PATCH,/api/v1/devices/Lrktfn/,90.0 ms,1 pet
